SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
MARICO,Marico Limited,-,EQ,1, Interim Dividend - Rs 3.25 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MANAPPURAM,Manappuram Finance Limited,-,EQ,2, Interim Dividend - Rs 0.55 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ORIENTELEC,Orient Electric Limited,-,EQ,1, Interim Dividend - Rs 0.65 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
KKCL,Kewal Kiran Clothing Limited,-,EQ,10, Interim Dividend - Rs 15 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
AEGISCHEM,Aegis Logistics Limited,-,EQ,1, Interim Dividend - Rs 0.50 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
BSOFT,BIRLASOFT LIMITED,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NIITTECH,NIIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
CUMMINSIND,Cummins India Limited,-,EQ,2, Interim Dividend - Rs 7 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VAIBHAVGBL,Vaibhav Global Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SRF,SRF Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share,2020-02-10,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
KPRMILL,K.P.R. Mill Limited,-,EQ,5, Interim Dividend - Rs 3.75 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
RECLTD,REC Limited,-,EQ,10, Interim Dividend - Rs 11 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
BROOKS,Brooks Laboratories Limited,-,EQ,10, Rights 9:20 @ Premium Rs 10/-,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
TVSMOTOR,TVS Motor Company Limited,-,EQ,1, Interim Dividend - Rs 2.10 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
BEL,Bharat Electronics Limited,-,EQ,1, Interim Dividend - Rs 1.40 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ARROWGREEN,Arrow Greentech Limited,-,EQ,10, Rights 1:5 @ Premium Rs 26/-,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
WELCORP,Welspun Corp Limited,-,EQ,5, Interim Dividend - Rs 10 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DHAMPURSUG,Dhampur Sugar Mills Limited,-,EQ,10, Interim Dividend - Rs 6 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DLF,DLF Limited,-,EQ,2, Interim Dividend - Rs 1.20 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
IRBINVIT,IRB InvIT Fund,-,IV,102, Third Distribution - Interest Payment Rs 2 Per Unit/ Return Of Capital Re 0.70 Per Unit,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ALKEM,Alkem Laboratories Limited,-,EQ,2, Interim Dividend - Rs 22 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
BLS,BLS International Services Limited,-,EQ,1, Interim Dividend - Rs 0.50 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ARCHIDPLY,Archidply Industries Limited,-,EQ,10, Demerger,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
82GS2022,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
828GS2032,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
824GS2027,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
TI,Tilaknagar Industries Limited,-,EQ,10, Extra Ordinary General Meeting,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MOIL,MOIL Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
IIFLSEC,IIFL Securities Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
KEC,KEC International Limited,-,EQ,2, Interim Dividend - Rs 3.4 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
IBULHSGFIN,Indiabulls Housing Finance Limited,-,EQ,2, Interim Dividend - Rs 6 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SUPRAJIT,Suprajit Engineering Limited,-,EQ,1, Interim Dividend - Rs 0.75 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
METROPOLIS,Metropolis Healthcare Limited,-,EQ,2, Interim Dividend - Rs 8 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ENGINERSIN,Engineers India Limited,-,EQ,5, Interim Dividend - Rs 3.60 Per Share,2020-02-14,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
STARCEMENT,Star Cement Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SUNPHARMA,Sun Pharmaceutical Industries Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SYMPHONY,Symphony Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share/ Splecial Dividend - Rs 18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ADFFOODS,ADF Foods Limited,-,EQ,10, Interim Dividend - Rs 1.5 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DALBHARAT,Dalmia Bharat Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
HEG,HEG Limited,-,EQ,10, Interim Dividend - Rs 25 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
HEROMOTOCO,Hero MotoCorp Limited,-,EQ,2, Interim Dividend - Rs 65 Per Sh,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
HIKAL,Hikal Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
RITES,RITES Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
IFGLEXPOR,IFGL Refractories Limited,-,EQ,10, Interim Dividend - Rs 2.50 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
KPITTECH,KPIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 0.55 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MINDACORP,Minda Corporation Limited,-,EQ,2, Int Dividend - Rs 0.35 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MINDAIND,Minda Industries Limited,-,EQ,2, Interim Dividend - Rs 0.40 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NHPC,NHPC Limited,-,EQ,10, Int Dividend - Rs 1.18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
OSEINTRUST,Oriental InfraTrust,-,IV,100, Distribution - Rs 0.51 Per Unit,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VIKASPROP,Vikas Proppant & Granite Limited,-,EQ,1, Interim Dividend - Re 0.10 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
GAIL,GAIL (India) Limited,-,EQ,10, Interim Dividend - Rs 6.4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
AARTIDRUGS,Aarti Drugs Limited,-,EQ,10, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ASTRAL,Astral Poly Technik Limited,-,EQ,1, Interim Dividend - Re 0.60 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
AUROPHARMA,Aurobindo Pharma Limited,-,EQ,1, Interim Dividend - Rs 1.75 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
RANEHOLDIN,Rane Holdings Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VIDHIING,Vidhi Specialty Food Ingredients Limited,-,EQ,1, Interim Dividend - Re 0.40 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
PAGEIND,Page Industries Limited,-,EQ,10, Interim Dividend - Rs 58 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NEULANDLAB,Neuland Laboratories Limited,-,EQ,10, Interim Dividend - Rs 2 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
KAJARIACER,Kajaria Ceramics Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SANDHAR,Sandhar Technologies Limited,-,EQ,10, Interim Dividend - Rs 1.25 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SATIA,Satia Industries Limited,-,EQ,1, Interim Dividend - Re 0.15 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
PRECWIRE,Precision Wires India Limited,-,EQ,5, Interim Dividend - Rs 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SUNDARMFIN,Sundaram Finance Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
TORNTPOWER,Torrent Power Limited,-,EQ,10, Interim Dividend - Rs 11.60 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
TRIVENI,Triveni Engineering & Industries Limited,-,EQ,1, Interim Dividend - Re 1.1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SHREYANIND,Shreyans Industries Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VISAKAIND,Visaka Industries Limited,-,EQ,10, Int Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VRLLOG,VRL Logistics Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
GSCLCEMENT,Gujarat Sidhee Cement Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
CONCOR,Container Corporation of India Limited,-,EQ,5, Int Dividend - Rs 0.75 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DWARKESH,Dwarikesh Sugar Industries Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
HITECHGEAR,The Hi-Tech Gears Limited,-,EQ,10, Interim Dividend - Rs 1.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
IPCALAB,IPCA Laboratories Limited,-,EQ,2, Interim Dividend - Rs 5 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
INDNIPPON,India Nippon Electricals Limited,-,EQ,5, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
KITEX,Kitex Garments Limited,-,EQ,1, Interim Dividend - Re 1.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MIRZAINT,Mirza International Limited,-,EQ,2, Interim Dividend - Rs 0.90 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MRF,MRF Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NMDC,NMDC Limited,-,EQ,1, Interim Dividend - Rs 5.29 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NRBBEARING,NRB Bearing Limited,-,EQ,2, Interim Dividend - Rs 0.80 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
LUXIND,Lux Industries Limited,-,EQ,2, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MAANALU,Maan Aluminium Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NATIONALUM,National Aluminium Company Limited,-,EQ,5, Interim Dividend - Rs 1.5 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NAUKRI,Info Edge (India) Limited,-,EQ,10, Interim Dividend - Rs 3.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,-,EQ,2, Interim Dividend - Rs 1.10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
CENTURYPLY,Century Plyboards (India) Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ALKYLAMINE,Alkyl Amines Chemicals Limited,-,EQ,5, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
CESC,CESC Limited,-,EQ,10, Interim Dividend - Rs 20 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
AMRUTANJAN,Amrutanjan Health Care Limited,-,EQ,1, Interim Dividend - Re 1.55 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
BODALCHEM,Bodal Chemicals Limited,-,EQ,2, Interim Dividend - Re 0.80 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
FINEORG,Fine Organic Industries Limited,-,EQ,5, Interim Dividend - Rs 4 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
