SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
ZENSARTECH,Zensar Technologies Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
PERSISTENT,Persistent Systems Limited,-,EQ,10, Interim Dividend - Rs 9 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
DCMSHRIRAM,DCM Shriram Limited,-,EQ,2, Interim Dividend - Rs 4.20 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
CCL,CCL Products (India) Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
75GS2034,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
MARICO,Marico Limited,-,EQ,1, Interim Dividend - Rs 3.25 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
MANAPPURAM,Manappuram Finance Limited,-,EQ,2, Interim Dividend - Rs 0.55 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ORIENTELEC,Orient Electric Limited,-,EQ,1, Interim Dividend - Rs 0.65 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
KKCL,Kewal Kiran Clothing Limited,-,EQ,10, Interim Dividend - Rs 15 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
AEGISCHEM,Aegis Logistics Limited,-,EQ,1, Interim Dividend - Rs 0.50 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
BSOFT,BIRLASOFT LIMITED,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
NIITTECH,NIIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
CUMMINSIND,Cummins India Limited,-,EQ,2, Interim Dividend - Rs 7 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
